"Title:","Arrests by Race from the Arrests Database"
"SubTitle:","State - Adult Juvenile: Adult and Juvenile"
"Time:","1980 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2022-02-17). Arrests: Arrests by Race | California, Florida, New York, Texas | Sale/Manufacturing  (Subtotal) | Possession (Subtotal) | White | Black or African American | Adult and Juvenile, 1980 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-002-002 doi:https://doi.org/10.6068/DP184DFD0D57627"
"ColumnCount:",33
"RowCount:",41

"Time","California, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests","California, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests","California, Possession (Subtotal), White, Adult and Juvenile, Arrests","California, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests","Florida, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests","Florida, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests","Florida, Possession (Subtotal), White, Adult and Juvenile, Arrests","Florida, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests","New York, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests","New York, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests","New York, Possession (Subtotal), White, Adult and Juvenile, Arrests","New York, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests","Texas, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests","Texas, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests","Texas, Possession (Subtotal), White, Adult and Juvenile, Arrests","Texas, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests","California, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","California, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants","California, Possession (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","California, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants","Florida, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","Florida, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants","Florida, Possession (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","Florida, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants","New York, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","New York, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants","New York, Possession (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","New York, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants","Texas, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","Texas, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants","Texas, Possession (Subtotal), White, Adult and Juvenile, Arrests per 100,000 Inhabitants","Texas, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests per 100,000 Inhabitants"
"1980",10786,5778,63641,18324,3331,775,21944,5042,5952,5324,20176,11717,3282,568,31612,7429,45.83,24.55,270.44,77.87,34.82,8.1,229.37,52.7,34,30.41,115.25,66.93,23.16,4.01,223.09,52.43
"1981",7955,2959,60913,15513,3655,1012,23021,6179,7372,7499,21535,14942,3812,710,37119,8547,32.93,12.25,252.13,64.21,35.95,9.95,226.45,60.78,41.9,42.62,122.4,84.93,25.84,4.81,251.57,57.93
"1982",9692,3617,68388,17382,4344,1540,21603,7057,10255,10017,23503,18850,3742,591,37860,9398,39.2,14.63,276.61,70.3,41.71,14.78,207.4,67.75,58.07,56.73,133.1,106.75,24.49,3.87,247.77,61.51
"1983",13230,6703,88135,26010,4820,2304,22052,7592,12509,10978,25291,22240,3924,631,36344,9589,52.55,26.63,350.1,103.32,45.13,21.57,206.48,71.09,70.81,62.14,143.16,125.89,24.96,4.01,231.14,60.98
"1984",11512,6292,87391,21731,4693,2641,23691,9439,13883,14395,28769,25028,5823,885,38684,10813,44.93,24.56,341.08,84.81,42.76,24.06,215.84,86,78.28,81.17,162.22,141.13,36.42,5.54,241.94,67.63
